GH24H
Timestamp,Temperature (C),Humidity (%),CO2 (ppm),Air Quality,TVOC,Fan ON/OFF
00:00,25.7,27.5,439,1,41,OFF
00:30,25.6,27.6,452,1,48,OFF
01:00,25.7,27.6,436,1,40,OFF
01:30,25.6,27.5,421,1,33,OFF
02:00,25.6,27.9,425,1,35,OFF
02:30,25.6,27.8,439,1,41,OFF
03:00,25.6,27.8,448,1,46,OFF
03:30,25.6,27.6,419,1,32,OFF
04:00,25.6,27.7,440,1,42,OFF
04:30,25.6,27.8,419,1,32,OFF
05:00,25.6,28.2,453,1,48,OFF
05:30,25.8,27.8,427,1,36,OFF
06:00,25.7,27.8,433,1,38,OFF
06:30,25.8,27.6,424,1,34,OFF
07:00,25.9,27.5,400,1,20,OFF
07:30,25.9,27.1,416,1,31,OFF
08:00,25.9,27.0,402,1,25,OFF
08:30,25.9,27.2,438,1,41,OFF
09:00,26.1,27.8,458,1,50,OFF
09:30,26.0,27.3,442,1,43,OFF
10:00,26.0,27.4,451,1,47,OFF
10:30,25.6,27.5,418,1,32,OFF
11:00,25.8,27.5,446,1,45,OFF
11:30,25.5,27.4,459,1,51,OFF
12:00,25.9,27.4,433,1,39,OFF
12:30,25.7,27.1,438,1,41,OFF
13:00,25.7,27.6,469,1,56,OFF
13:30,26.0,27.1,474,1,59,OFF
14:00,26.0,26.9,445,1,44,OFF
14:30,25.9,27.4,459,1,51,OFF
15:00,25.8,27.1,453,1,48,OFF
15:30,25.9,26.9,453,1,48,OFF
16:00,25.8,27.2,472,1,57,OFF
16:30,25.8,27.2,444,1,44,OFF
17:00,26.0,27.4,453,1,48,OFF
17:30,25.9,27.2,460,1,52,OFF
18:00,26.0,27.1,504,2,74,OFF
18:30,25.5,27.4,460,1,51,OFF
19:00,25.6,27.3,465,1,54,OFF
19:30,25.6,27.8,461,1,52,OFF
20:00,25.2,28.0,482,1,63,OFF
20:30,25.3,27.7,445,1,44,OFF
21:00,25.1,27.5,447,1,45,OFF
21:30,25.2,28.3,483,1,63,OFF
22:00,25.6,28.3,497,2,70,OFF
22:30,26.1,28.5,479,1,61,OFF
23:00,26.6,27.6,460,1,52,OFF
23:30,26.4,27.7,456,1,49,OFF
00:00,26.4,27.3,455,1,49,OFF
00:30,26.5,27.6,452,1,48,OFF
01:00,26.0,27.3,459,1,51,OFF
01:30,26.0,27.4,531,2,90,OFF
02:00,26.0,27.9,495,2,69,OFF
02:30,25.8,27.4,480,1,62,OFF
03:00,25.9,27.7,459,1,51,OFF
03:30,25.8,28.0,456,1,50,OFF
04:00,26.3,27.5,458,1,50,OFF
04:30,26.4,27.6,472,1,57,OFF
05:00,26.2,27.6,472,1,57,OFF
05:30,26.3,27.4,457,1,50,OFF
06:00,25.8,27.8,458,1,51,OFF
06:30,25.7,28.1,471,1,57,OFF
